model,val_auc,val_acc,test_auc,test_acc,parameters,FLOPS,Time Consuming
resnet34,0.733,0.6635,0.7795,0.7089,21.926M,153.443G,5.42s
resnet50,0.7165,0.6541,0.7639,0.6854,25.685M,171.829G,5.59s
resnet101,0.7441,0.6557,0.7645,0.6948,44.678M,327.412G,7.02s
resnet152,0.7357,0.6573,0.7619,0.7027,60.321M,483.096G,8.71s
vgg11_bn,0.7389,0.6635,0.7554,0.6839,132.997M,317.755G,5.85s
vgg13_bn,0.728,0.651,0.7524,0.6776,133.182M,472.977G,7.4s
vgg16_bn,0.7265,0.6588,0.7732,0.7089,138.494M,647.087G,8.0s
vgg19_bn,0.7179,0.6322,0.752,0.6792,143.807M,821.197G,8.49s
densenet121,0.7419,0.6604,0.7647,0.687,8.107M,119.767G,6.26s
densenet169,0.7683,0.698,0.776,0.7074,14.278M,142.013G,6.8s
densenet201,0.7372,0.662,0.7616,0.7042,20.142M,181.420G,7.93s
densenet161,0.7326,0.6526,0.7814,0.7042,28.809M,325.448G,9.07s
